day,p2.5,p5,p25,p50,p75,p95,p97.5
1,0.417082,0.419231,0.423052,0.424853,0.426798,0.429902,0.431051
2,0.414280,0.415828,0.421859,0.424853,0.427721,0.432100,0.433564
3,0.411576,0.413688,0.420961,0.424949,0.428666,0.433900,0.435020
4,0.409905,0.411980,0.420006,0.424853,0.429358,0.435450,0.437098
5,0.408537,0.411249,0.419250,0.424853,0.429966,0.436527,0.439056
6,0.406959,0.410229,0.418473,0.424815,0.430275,0.437943,0.440021
7,0.405809,0.408375,0.417924,0.424747,0.430849,0.438968,0.441255
8,0.404322,0.407419,0.417724,0.424853,0.431435,0.439749,0.441977
9,0.403682,0.406942,0.417342,0.424805,0.431741,0.441126,0.443200
10,0.401362,0.405524,0.416777,0.424355,0.431741,0.441697,0.443967
11,0.399471,0.404050,0.416272,0.424098,0.431880,0.443048,0.445531
12,0.397358,0.403038,0.416106,0.424604,0.432572,0.443841,0.446776
13,0.396759,0.401236,0.415654,0.424785,0.432696,0.444493,0.447830
14,0.394584,0.400195,0.415172,0.424700,0.433012,0.444860,0.449429
15,0.393161,0.398024,0.414863,0.424789,0.433784,0.445346,0.449402
16,0.392991,0.397889,0.414668,0.424884,0.434106,0.446172,0.451059
17,0.390923,0.396377,0.414033,0.425012,0.434570,0.448021,0.451939
18,0.390066,0.395685,0.413203,0.425269,0.434833,0.448569,0.452890
19,0.388247,0.393961,0.412509,0.424949,0.435177,0.449786,0.454054
20,0.386447,0.392006,0.412321,0.424853,0.435366,0.450256,0.454175
21,0.385980,0.391064,0.412038,0.425000,0.436299,0.451828,0.455390
22,0.384770,0.390908,0.411570,0.424440,0.435983,0.452117,0.456301
23,0.384808,0.390667,0.411209,0.424478,0.436299,0.452707,0.457537
24,0.384218,0.389657,0.410579,0.424210,0.436581,0.453427,0.458506
25,0.382539,0.389315,0.410065,0.424103,0.436359,0.453439,0.460033
26,0.380595,0.389169,0.410027,0.424153,0.436046,0.453345,0.460483
27,0.380058,0.388328,0.409762,0.423539,0.436185,0.454249,0.460005
28,0.379344,0.387116,0.409531,0.423330,0.435973,0.455010,0.461455
29,0.378735,0.387217,0.409110,0.423182,0.436143,0.455707,0.462053
30,0.378635,0.386123,0.409036,0.422855,0.436686,0.456247,0.462041
31,0.378625,0.385572,0.408397,0.422670,0.436477,0.456959,0.463187
32,0.377394,0.385159,0.408476,0.423055,0.436683,0.457101,0.464170
33,0.376734,0.384482,0.408085,0.423067,0.436752,0.457819,0.465495
34,0.376681,0.384552,0.407665,0.422853,0.437239,0.458359,0.465994
35,0.374798,0.384463,0.407655,0.422800,0.438058,0.459583,0.466450
