CAGR,AnnVol,Sharpe,MaxDD
-0.092234,0.127423,-0.695346,-0.823194
-0.118452,0.128072,-0.919890,-0.863771
-0.065495,0.129738,-0.456945,-0.687965
0.029621,0.126911,0.293673,-0.328031
-0.048420,0.129882,-0.316910,-0.638294
-0.058690,0.128659,-0.405477,-0.659997
-0.071301,0.127710,-0.515060,-0.822086
-0.035499,0.127796,-0.218745,-0.660596
-0.090199,0.128891,-0.668605,-0.811369
-0.103741,0.130504,-0.773506,-0.822586
-0.037102,0.126341,-0.235893,-0.480604
-0.044531,0.126812,-0.295626,-0.573511
-0.117582,0.126371,-0.926167,-0.887705
-0.057598,0.126375,-0.406032,-0.748735
-0.012671,0.124650,-0.039775,-0.490368
-0.144863,0.126529,-1.172972,-0.936038
-0.011371,0.126103,-0.027497,-0.723454
-0.000193,0.129729,0.063638,-0.559397
-0.051554,0.125712,-0.357946,-0.691939
-0.036833,0.129066,-0.225974,-0.587858
-0.074873,0.127558,-0.546004,-0.774507
-0.089860,0.132632,-0.643188,-0.805342
-0.069828,0.128377,-0.499436,-0.743597
-0.064375,0.128294,-0.454168,-0.712049
-0.064918,0.126898,-0.465232,-0.790004
-0.060232,0.129775,-0.413495,-0.717102
-0.076437,0.129329,-0.549839,-0.751283
-0.070504,0.130425,-0.495087,-0.758285
-0.075757,0.126872,-0.557146,-0.804389
-0.057002,0.126387,-0.400933,-0.749220
-0.075545,0.128178,-0.548425,-0.751786
-0.087931,0.129689,-0.644449,-0.817296
-0.028566,0.127196,-0.164055,-0.639243
-0.113835,0.130247,-0.862255,-0.892509
-0.017790,0.128611,-0.075074,-0.448624
-0.049797,0.125344,-0.344648,-0.654627
-0.036846,0.127955,-0.229229,-0.672728
-0.095596,0.127782,-0.722058,-0.833084
-0.039497,0.130046,-0.244498,-0.595919
-0.053744,0.131532,-0.353935,-0.762929
-0.058592,0.129323,-0.401895,-0.722640
-0.027246,0.127249,-0.153253,-0.656220
-0.071340,0.128934,-0.509202,-0.787294
-0.098515,0.130690,-0.727851,-0.868105
-0.074436,0.128811,-0.535805,-0.700418
-0.081538,0.131276,-0.581880,-0.782199
-0.088713,0.128898,-0.655899,-0.858602
-0.109519,0.127632,-0.844582,-0.861816
-0.046752,0.127189,-0.312638,-0.663289
-0.035763,0.124985,-0.228681,-0.585631
-0.082635,0.126339,-0.619136,-0.773560
-0.078237,0.128798,-0.567754,-0.737374
-0.138985,0.128922,-1.095706,-0.907721
-0.094737,0.128614,-0.709157,-0.813241
-0.059667,0.127983,-0.416410,-0.698417
-0.052474,0.123898,-0.372905,-0.687134
-0.049286,0.127839,-0.331198,-0.671408
-0.009619,0.125964,-0.013572,-0.579954
0.020927,0.125277,0.228075,-0.527342
-0.139129,0.124222,-1.143328,-0.906703
-0.063938,0.126568,-0.458479,-0.749549
0.023556,0.129571,0.244657,-0.298611
0.045752,0.128847,0.411838,-0.392187
0.010944,0.126486,0.149499,-0.454779
-0.044612,0.128094,-0.292046,-0.667591
-0.043125,0.128066,-0.279897,-0.588329
-0.084807,0.127911,-0.628551,-0.778268
-0.077638,0.129602,-0.558452,-0.766724
-0.002942,0.126179,0.039913,-0.467435
