day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,0.420981,0.426000,0.419420,0.427142,0.431193,0.424472,0.428620,0.430024,0.425251,0.422974,0.433820,0.425105,0.431513,0.426097,0.423466,0.424785,0.430311,0.424853,0.423041,0.424090,0.423882,0.425243,0.421571,0.425686,0.424757,0.421532,0.427279,0.427378,0.423090,0.425227,0.424853,0.421096,0.420905,0.423204,0.418577,0.428498,0.424382,0.427140,0.424826,0.422362,0.425065,0.428413,0.424097,0.426449,0.428626,0.424090,0.427103,0.430741,0.423456,0.421085,0.423713,0.424598,0.431641,0.426864,0.426484,0.428735,0.424723,0.421961,0.424537,0.421257,0.426036,0.427442,0.424889,0.424853,0.427505,0.428192,0.423582,0.429395,0.422341,0.430458,0.421170,0.423585,0.420229,0.423104,0.415930,0.427873,0.420407,0.423471,0.425971,0.427378,0.424717,0.424853,0.423228,0.427183,0.426018,0.431678,0.434043,0.428260,0.426949,0.419889,0.426947,0.425464,0.428217,0.422017,0.418127,0.427486,0.413598,0.424523,0.424567,0.429862
22,0.422909,0.428219,0.414327,0.421468,0.453170,0.399343,0.426609,0.442662,0.422877,0.429877,0.440972,0.424405,0.447629,0.409409,0.412873,0.382756,0.444092,0.421446,0.428048,0.422639,0.408025,0.418263,0.399546,0.393675,0.387711,0.430993,0.429881,0.437898,0.431932,0.425636,0.424621,0.429542,0.410861,0.404332,0.419909,0.408606,0.418615,0.440477,0.412027,0.416969,0.421459,0.434153,0.417788,0.416215,0.447404,0.417909,0.456937,0.427834,0.416178,0.420174,0.401569,0.432061,0.438032,0.451265,0.432296,0.448889,0.414934,0.416392,0.413238,0.401910,0.435371,0.425627,0.456173,0.426797,0.417967,0.412424,0.441386,0.454480,0.444395,0.436474,0.431134,0.442231,0.397709,0.428108,0.431752,0.410949,0.408820,0.391739,0.427573,0.434973,0.424782,0.420434,0.412031,0.463017,0.434551,0.435404,0.411999,0.392856,0.422054,0.400812,0.428452,0.439897,0.411268,0.433920,0.436194,0.436115,0.388444,0.422899,0.435533,0.449677
43,0.407197,0.430089,0.386123,0.416408,0.460738,0.376400,0.450115,0.432462,0.397908,0.429546,0.408678,0.402158,0.445018,0.420587,0.383487,0.380581,0.443231,0.401687,0.435428,0.419306,0.395369,0.418404,0.406570,0.399914,0.422790,0.438427,0.460590,0.401901,0.404830,0.442080,0.440549,0.444835,0.428702,0.415759,0.439876,0.396672,0.418747,0.443359,0.421687,0.403678,0.393648,0.447425,0.408590,0.417061,0.474022,0.409328,0.456919,0.386043,0.437395,0.421165,0.392774,0.459224,0.440488,0.478212,0.439897,0.438247,0.414250,0.385913,0.420517,0.401338,0.433119,0.441317,0.467461,0.426340,0.422140,0.432504,0.450711,0.446483,0.451875,0.456576,0.434978,0.462189,0.398863,0.398563,0.439337,0.436070,0.420907,0.400599,0.457169,0.437563,0.425779,0.396483,0.416651,0.452466,0.438268,0.438660,0.394216,0.418018,0.413306,0.399041,0.428089,0.413184,0.384700,0.412326,0.440973,0.422116,0.387522,0.448072,0.427339,0.453822
64,0.379429,0.395688,0.360515,0.434323,0.472397,0.364963,0.475814,0.439004,0.409983,0.452764,0.406997,0.391548,0.436126,0.373818,0.395555,0.379506,0.434309,0.400465,0.420110,0.418288,0.393080,0.411218,0.403836,0.408891,0.415530,0.449809,0.457646,0.402514,0.386692,0.442423,0.442513,0.454120,0.396062,0.414281,0.430256,0.421155,0.428539,0.412441,0.427562,0.411106,0.381853,0.456720,0.415995,0.414987,0.489487,0.421598,0.433106,0.381811,0.419784,0.411695,0.393513,0.443795,0.460879,0.471204,0.448668,0.469341,0.409808,0.409227,0.410940,0.389621,0.423096,0.434167,0.471997,0.403528,0.408885,0.444800,0.416967,0.444565,0.436542,0.454466,0.447826,0.469258,0.388002,0.405265,0.417370,0.452802,0.374038,0.371633,0.432681,0.434058,0.443111,0.418195,0.432097,0.463157,0.451402,0.446017,0.394195,0.425011,0.392265,0.377025,0.433809,0.424514,0.389517,0.423584,0.447607,0.438370,0.407737,0.439486,0.386820,0.472631
85,0.375847,0.388281,0.370387,0.433924,0.470554,0.371506,0.493521,0.445768,0.392364,0.453758,0.423294,0.410613,0.400985,0.329630,0.350085,0.377979,0.429032,0.401590,0.426320,0.409110,0.384761,0.359453,0.434033,0.412826,0.411850,0.435444,0.473887,0.361154,0.382117,0.409314,0.436136,0.453025,0.381873,0.406452,0.424062,0.442212,0.427797,0.408865,0.397224,0.402230,0.411058,0.471949,0.402792,0.392208,0.492733,0.422048,0.400070,0.370079,0.416660,0.426678,0.391668,0.438698,0.451797,0.472638,0.434810,0.455007,0.359607,0.397523,0.409393,0.379836,0.430980,0.455710,0.467486,0.404234,0.398074,0.420988,0.414730,0.440476,0.409642,0.452311,0.477275,0.507608,0.398641,0.389656,0.441697,0.429350,0.396636,0.380624,0.424498,0.439355,0.403119,0.421231,0.446457,0.469204,0.429668,0.473143,0.378103,0.367852,0.390629,0.372104,0.442734,0.416818,0.393268,0.422747,0.465920,0.437015,0.423992,0.431488,0.409290,0.446967
106,0.374500,0.399723,0.372954,0.442768,0.466655,0.373695,0.461569,0.466853,0.386766,0.413549,0.398478,0.424628,0.368295,0.330708,0.322124,0.376490,0.452025,0.340173,0.431888,0.414783,0.363549,0.372145,0.440078,0.381511,0.437568,0.459770,0.480670,0.376531,0.367991,0.412052,0.447313,0.424397,0.352530,0.426481,0.438943,0.432813,0.445055,0.400849,0.385939,0.417565,0.393473,0.484144,0.390312,0.404788,0.495978,0.407262,0.407313,0.351859,0.419774,0.368458,0.417345,0.456431,0.458815,0.469354,0.438327,0.441581,0.354886,0.410858,0.412909,0.346372,0.445896,0.488548,0.463791,0.391537,0.408743,0.423778,0.419222,0.432108,0.421212,0.473476,0.483192,0.517126,0.372477,0.371865,0.438587,0.376054,0.400189,0.350148,0.409917,0.443525,0.409938,0.411171,0.457289,0.506305,0.416041,0.439389,0.379755,0.363667,0.398411,0.376854,0.424594,0.424708,0.394808,0.419409,0.482239,0.447726,0.435953,0.419267,0.426319,0.456296
127,0.377389,0.400589,0.347977,0.440733,0.458008,0.396786,0.451454,0.481400,0.400951,0.416876,0.429276,0.413985,0.355017,0.339601,0.305434,0.388343,0.469366,0.339664,0.416527,0.419144,0.386179,0.345739,0.464178,0.401134,0.406310,0.466312,0.480272,0.389407,0.354531,0.387812,0.432352,0.444940,0.371870,0.398987,0.447333,0.435324,0.457031,0.381779,0.357799,0.425631,0.373863,0.512028,0.392928,0.415860,0.467207,0.412145,0.435152,0.343957,0.423737,0.343585,0.430393,0.462758,0.476028,0.499725,0.419672,0.462681,0.346394,0.386056,0.396545,0.350514,0.454071,0.506454,0.464212,0.415472,0.401340,0.410799,0.424475,0.470704,0.431199,0.502879,0.454291,0.524351,0.342071,0.378533,0.449855,0.371549,0.396197,0.328165,0.420718,0.445027,0.425894,0.420885,0.459979,0.509839,0.383341,0.471514,0.376199,0.356037,0.376280,0.391820,0.389187,0.434425,0.368393,0.431780,0.478071,0.419148,0.436578,0.436950,0.399730,0.473190
148,0.389110,0.417928,0.362112,0.453702,0.476578,0.368871,0.455302,0.510521,0.395792,0.406621,0.432290,0.441638,0.356450,0.324574,0.309028,0.397719,0.492962,0.343140,0.385992,0.433190,0.387507,0.342890,0.479604,0.391625,0.390470,0.458341,0.469499,0.363983,0.357796,0.386907,0.414844,0.414443,0.357276,0.374953,0.464559,0.446183,0.460416,0.366642,0.368744,0.426619,0.381719,0.497751,0.407339,0.412736,0.462111,0.421599,0.429843,0.332498,0.411256,0.362077,0.431433,0.436072,0.447270,0.502985,0.417498,0.464058,0.332155,0.386143,0.393146,0.355933,0.463380,0.526156,0.430104,0.422431,0.382270,0.403854,0.375906,0.464025,0.413640,0.516041,0.459220,0.528317,0.346770,0.384717,0.496126,0.364280,0.417090,0.306484,0.422015,0.456353,0.439117,0.446843,0.463965,0.528646,0.363329,0.487514,0.386409,0.374840,0.371598,0.424370,0.386837,0.407835,0.376664,0.451009,0.455468,0.431207,0.458371,0.427038,0.405413,0.497928
169,0.372556,0.417454,0.354165,0.430879,0.479790,0.383998,0.455701,0.463506,0.393975,0.422112,0.458311,0.470669,0.350620,0.310907,0.306288,0.413413,0.494766,0.356859,0.393415,0.432071,0.379551,0.343479,0.470481,0.400784,0.386590,0.462051,0.498988,0.366021,0.361276,0.391878,0.415627,0.409769,0.335974,0.377810,0.482537,0.467563,0.438651,0.350586,0.323016,0.425349,0.380214,0.499815,0.417182,0.407599,0.421925,0.410248,0.436305,0.340853,0.394450,0.385430,0.418950,0.466226,0.474136,0.513312,0.416694,0.477395,0.335856,0.377466,0.378008,0.349630,0.449543,0.551274,0.420286,0.370150,0.371723,0.378035,0.392360,0.470677,0.406138,0.518150,0.468020,0.549208,0.335006,0.383174,0.514283,0.379851,0.451466,0.311390,0.425234,0.469779,0.447678,0.430727,0.464516,0.533873,0.371514,0.512571,0.409213,0.359238,0.396015,0.439648,0.369154,0.410519,0.381524,0.462677,0.451573,0.435902,0.479021,0.434240,0.429198,0.496331
190,0.395589,0.430179,0.332609,0.455255,0.440013,0.397430,0.415665,0.449392,0.402185,0.417724,0.454521,0.488195,0.337074,0.311363,0.276883,0.416199,0.499776,0.332627,0.377361,0.436939,0.380936,0.380420,0.477596,0.421847,0.375904,0.492367,0.517759,0.320977,0.367007,0.352069,0.415522,0.392516,0.347390,0.397932,0.479384,0.487789,0.440627,0.336604,0.324564,0.455900,0.384856,0.473997,0.414941,0.378621,0.427846,0.405186,0.434367,0.336196,0.389445,0.396557,0.419819,0.449382,0.470599,0.521636,0.431997,0.450231,0.336304,0.339249,0.374364,0.373238,0.418648,0.532285,0.421731,0.361672,0.374480,0.381704,0.412952,0.479268,0.390203,0.538934,0.485036,0.540239,0.331730,0.375089,0.554474,0.384041,0.470190,0.308284,0.416028,0.497268,0.405728,0.447632,0.476127,0.518427,0.372360,0.515199,0.414938,0.356941,0.403571,0.459520,0.358042,0.434141,0.358894,0.445457,0.415048,0.475898,0.477109,0.410750,0.411836,0.489179
