Date,regime,gross_ret,trading_costs,mgmt_fee,borrow_costs,net_ret,equity,bench_net_ret,bench_equity
2010-01-04,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,,1.00000000
2010-01-05,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00264348,1.00264348
2010-01-06,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00070053,1.00334586
2010-01-07,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00421782,1.00757780
2010-01-08,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00332455,1.01092754
2010-01-11,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00139273,1.01233549
2010-01-12,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,-0.00932977,1.00289063
2010-01-13,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00844239,1.01135743
2010-01-14,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00270111,1.01408921
2010-01-15,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,-0.01122760,1.00270342
2010-01-19,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.01249188,1.01522907
2010-01-20,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,-0.01017228,1.00490188
2010-01-21,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,-0.01923264,0.98557496
2010-01-22,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,-0.02229515,0.96360142
2010-01-25,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00512399,0.96853891
2010-01-26,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,-0.00419420,0.96447666
2010-01-27,bear,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,1.00000000,0.00475348,0.96906128
2010-01-28,bear,0.00000000,-0.00014400,-0.00000000,-0.00000000,-0.00014400,0.99985600,-0.01147593,0.95794040
2010-01-29,bear,-0.01159365,-0.00010080,-0.00000000,-0.00000000,-0.01169445,0.98816324,-0.01087187,0.94752579
2010-02-01,bear,0.00792928,-0.00007056,-0.00000000,-0.00000000,0.00785872,0.99592893,0.01554718,0.96225715
2010-02-02,bear,0.00540485,-0.00004939,-0.00000000,-0.00000000,0.00535545,1.00126259,0.01209992,0.97390039
2010-02-03,bear,-0.03768509,-0.00005748,-0.00000000,-0.00000000,-0.03774256,0.96347237,-0.00498656,0.96904397
